YEAR,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW-HAMPSHIRE,NEW-JERSEY,NEW-MEXICO,NEW-YORK,NORTH-CAROLINA,NORTH-DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE-ISLAND,SOUTH-CAROLINA,SOUTH-DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST-VIRGINIA,WISCONSIN,WYOMING,US-AVG,MEAN,STDDEV,POP1STDDEV,2XSTDDEV,POP2STDDEV,CV,MI-DIFF,FL-DIFF,TX-DIFF
1971,15.06179937,13.41853035,6.706327745,10.49382716,8.119467933,6.526500219,3.11587147,6.093189964,13.25095867,15.97341338,5.323193916,3.278688525,9.637370489,5.34698521,1.823281907,5.093002657,10.90798294,11.11111111,1.994017946,11.225,3.820771101,10.47015672,2.447822726,14.73495058,8.92819541,4.378531073,2.579365079,11.43984221,2.230971129,5.835616438,12.03883495,9.91245718,11.77613681,1.28,7.524587122,6.513409962,3.243744208,6.212644162,3.020833333,16.59687857,1.194029851,12.43107769,12.06806283,2.729754322,1.091703057,10.07636826,3.769208466,6.449771689,2.815013405,5.294117647,942,7.3481,4.3661,60%,8.7323,98%,59%,3.122,4.9003,4.72
1972,14.13105413,9.538461538,7.300771208,10.41456016,8.750244284,8.315655494,3.244646334,6.902654867,12.72902604,18.45338983,6.798516687,3.835978836,8.754777353,6.066906067,1.734304544,4.030115146,9.790845711,13.19892473,5.344995141,12.54930966,3.715223777,10.99977978,2.438398357,15.37781706,8.331580055,2.503477051,2.885245902,13.47248577,1.68612192,6.52911633,11.45539906,11.0312534,13.5021097,1.265822785,7.521098025,6.985573273,5.453712191,6.045614624,1.342975207,16.77298311,1.17820324,11.28752171,12.3615761,2.930728242,1.731601732,11.77581864,4.240487947,6.120157215,2.787610619,4.057971014,999,7.5935,4.51,58%,9.0199,96%,59%,3.4063,5.1551,4.7681
1973,13.2240746,10,8.114674441,8.8365243,9.038396194,7.919573246,3.315994798,5.902777778,15.36858557,17.42582532,5.288461538,2.597402597,10.3506586,7.298720843,2.169421488,6.011408513,9.664871335,15.4357067,2.140077821,11.3022113,4.400137504,12.11853162,2.745701822,16.13327488,8.976245533,5.963938974,4.345006485,12.22627737,2.149178255,7.417470452,11.75406872,11.16890227,12.9527783,0.78125,7.296617277,6.646639129,4.943820225,6.335069736,3.391572456,14.38004402,3.795620438,13.1846825,12.76920468,3.19792567,2.155172414,10.45520682,3.995333917,5.741360089,2.604508645,6.798866856,1096,7.8446,4.3339,58%,8.6679,98%,55%,4.2739,5.0989,4.9246
1974,14.98462399,13.64985163,9.568044589,11.20271581,9.494427704,6.049679487,3.270725389,10.29668412,14.72187886,17.77959853,8.26446281,5.63204005,11.84978888,8.011257036,1.891418564,6.916299559,10.33661007,16.04675877,2.865329513,11.74890083,4.413793103,13.03583205,3.012509574,12.86574871,9.755076408,4.217687075,3.56448477,14.83420593,3.465346535,6.780354707,11.31907308,10.59577053,11.72851016,1.412872841,8.866536276,8.121077889,5.604589585,6.717363752,3.842049093,16.23563218,2.052785924,13.44151126,13.70954357,3.1543052,3.404255319,10.63569682,5.149597238,6.030150754,3.022339028,5.013927577,1186,8.4117,4.438,54%,8.876,98%,53%,4.6242,5.3992,5.2979
1975,15.96568899,12.21590909,8.588129496,10.06616257,10.42718905,7.419100237,3.877221325,7.25388601,13.52159866,14.43361754,7.74566474,5.243902439,10.57873486,8.45415176,2.473867596,5.381561535,10.1590106,12.58243208,2.83286119,10.66373841,4.152367879,11.8597794,3.285787061,13.93861893,10.60256141,5.213903743,4.269081501,13.00675676,2.93398533,6.834335703,13.3391456,11.01545254,12.4197395,0.787401575,8.142020634,9.439528024,6.206293706,6.831825484,3.020496224,14.6912704,3.660322108,11.38968481,13.39380567,2.653399668,2.123142251,11.47573988,5.699774266,7.376594565,3.255914912,10.16042781,1086,8.2613,4.0251,56%,8.0502,100%,49%,3.5985,4.9755,5.1325
1976,15.08867667,11.2565445,7.797356828,10.09957326,10.31598513,6.813782424,3.111966635,6.18556701,10.72319202,13.92354125,6.200676437,5.294825511,10.33930003,7.11052433,2.334494774,4.502164502,10.56009335,13.17365269,2.710280374,8.494208494,3.339645378,11.13796134,2.320302648,12.48937978,9.271661783,5.046480744,2.897617514,11.47540984,3.284671533,5.179934569,9.674657534,10.88807786,11.13549095,1.399688958,7.408793265,6.435285611,4.16487763,6.06137245,2.373247033,11.62219101,1.749271137,10.96345515,12.16465124,4.478827362,5.462184874,9.459459459,4.263565891,6.699615596,3.037535257,6.923076923,1014,7.3769,3.6493,58%,7.2985,98%,49%,3.7611,5.0566,4.7878
1977,14.20054201,10.81081081,9.451219512,8.768656716,11.48611619,6.33829706,4.247104247,6.013745704,10.16327496,11.74722662,7.150837989,5.484247375,9.86216096,7.410881801,2.327196943,6.577815993,10.09253904,15.5317521,2.396313364,8.045421599,3.078519543,9.343849272,2.666666667,14.31561323,9.622995209,5.387647832,3.907751441,15.79778831,3.180212014,5.566925911,8.823529412,10.70631555,10.60633484,0.918836141,7.784319223,8.573461402,4.924242424,5.557912601,3.636363636,11.92628651,2.031930334,10.09537102,13.28916602,3.470031546,1.449275362,8.958130477,4.346637507,6.024744486,2.795097828,5.418719212,853,7.4462,3.8262,64%,7.6525,96%,51%,1.8976,4.7796,5.8429
1978,13.33511491,12.90322581,9.388275276,9.103385178,11.7116713,7.34082397,4.162633107,6.689536878,11.04258785,14.37844217,6.688963211,5.353075171,9.855020902,6.215109788,2.555248619,5.66439523,9.033733562,15.75895108,2.749770852,8.158339368,3.740907516,10.57786484,2.020958084,12.56239601,10.3909465,4.840764331,3.003194888,15.45454545,1.377726751,5.431963969,10.2310231,10.25467658,10.7584723,1.226993865,6.893664527,8.472222222,5.032733224,6.170212766,3.957219251,11.51473612,1.884057971,9.433096167,14.23851237,3.749043611,3.285420945,8.78010878,4.636989931,6.827956989,2.52190639,7.075471698,972,7.5687,3.9063,64%,7.8126,96%,52%,3.0092,5.5477,6.6698
1979,13.15998939,13.30049261,8.93877551,9.082568807,13.00669722,5.808080808,4.205457464,5.670103093,12.23476298,17.13559984,7.213114754,5.414364641,10.71237756,8.296296296,2.239063038,5.487547488,9.498157074,16.93989071,2.825888788,9.78549048,3.674813659,9.057341442,2.290640394,12.55195345,11.15447823,4.198473282,4.129606099,17.52136752,2.367531003,6.601200218,12.4093473,11.8533628,10.70281841,1.522070015,8.06075855,9.716459198,4.234269885,6.171681869,3.229278794,12.55115962,2.031930334,9.817351598,16.69779604,4.82809071,1.419878296,8.601116028,4.763117677,6.815761448,3.389830508,9.111111111,834,8.0486,4.3844,64%,8.7688,94%,54%,1.0088,5.7579,8.6492
1980,13.18152225,8.860776749,10.27489203,9.194246853,14.49473668,6.878804839,4.716944557,6.893316677,14.49758297,13.75709124,8.70755069,3.073241708,10.61200723,8.880989793,2.166583442,6.922081568,8.815099579,15.73981163,2.84781119,9.51765071,4.050075695,10.18624796,2.610043497,14.5331996,11.09912333,3.966263728,4.411987562,19.99220304,2.50240993,6.864461213,13.12260995,12.72656339,10.59266744,1.226172029,8.089677089,9.96250898,5.056547137,6.841888936,4.44052081,11.35563803,0.726515038,10.75767942,16.88093766,3.770405607,2.151383046,8.622289614,5.47001931,7.14734458,2.905413619,6.183975401,940,8.1656,4.4587,62%,8.9175,98%,55%,2.0207,5.5555,8.7153
