YEAR,STATE,POPULATION,HOMICIDES,
2004,Utah,2420708,46,
2005,Utah,2490334,56,
2006,Utah,2550063,52,
2007,Utah,2645330,59,
2008,Utah,2727343,40,
2009,Utah,2784572,39,
2010,Utah,2763885,53,
1960,Vermont,389881,1,
1961,Vermont,395000,6,
1962,Vermont,390000,1,
1963,Vermont,390000,2,
1964,Vermont,409000,2,
1965,Vermont,397000,2,
1966,Vermont,405000,6,
1967,Vermont,417000,13,
1968,Vermont,422000,11,
1969,Vermont,439000,11,
1970,Vermont,444732,6,
1971,Vermont,458000,5,
1972,Vermont,462000,8,
1973,Vermont,464000,10,
1974,Vermont,470000,16,
1975,Vermont,471000,10,
1976,Vermont,476000,26,
1977,Vermont,483000,7,
1978,Vermont,487000,16,
1979,Vermont,493000,7,
1980,Vermont,511299,11,
1981,Vermont,515000,22,
1982,Vermont,516000,12,
1983,Vermont,525000,19,
1984,Vermont,530000,12,
1985,Vermont,535000,18,
1986,Vermont,541000,11,
1987,Vermont,548000,15,
1988,Vermont,556000,11,
1989,Vermont,567000,11,
1990,Vermont,562758,13,
1991,Vermont,567000,12,
1992,Vermont,570000,12,
1993,Vermont,576000,21,
1994,Vermont,580000,6,
1995,Vermont,585000,13,
1996,Vermont,589000,11,
1997,Vermont,589000,9,
1998,Vermont,591000,13,
1999,Vermont,593740,17,
1966,Indiana,4918000,197,
1967,Indiana,5000000,188,
1968,Indiana,5067000,243,
1969,Indiana,5118000,255,
1970,Indiana,5193669,253,
1971,Indiana,5274000,282,
1972,Indiana,5291000,321,
1973,Indiana,5316000,388,
1974,Indiana,5330000,427,
1975,Indiana,5311000,449,
1976,Indiana,5302000,377,
1977,Indiana,5330000,395,
1978,Indiana,5374000,334,
1979,Indiana,5400000,448,
1980,Indiana,5461103,485,
1981,Indiana,5466000,388,
1982,Indiana,5471000,355,
1983,Indiana,5479000,286,
1984,Indiana,5498000,303,
1985,Indiana,5499000,319,
1986,Indiana,5504000,329,
1987,Indiana,5531000,307,
1988,Indiana,5575000,358,
1989,Indiana,5593000,353,
1990,Indiana,5544159,344,
1991,Indiana,5610000,423,
1992,Indiana,5662000,464,
1993,Indiana,5713000,430,
1994,Indiana,5752000,453,
1995,Indiana,5803000,466,
1996,Indiana,5841000,420,
1997,Indiana,5864000,430,
1998,Indiana,5899000,454,
1999,Indiana,5942901,391,
2000,Indiana,6080485,352,
2001,Indiana,6126743,413,
2002,Indiana,6156913,362,
2003,Indiana,6199571,338,
2004,Indiana,6226537,316,
2005,Indiana,6266019,356,
2006,Indiana,6313520,362,
2007,Indiana,6345289,354,
2008,Indiana,6388309,322,
2009,Indiana,6423113,312,
2010,Indiana,6483802,292,
1960,Iowa,2757537,17,
1961,Iowa,2779000,36,
1962,Iowa,2777000,31,
1963,Iowa,2780000,35,
1964,Iowa,2756000,35,
1965,Iowa,2760000,36,
1966,Iowa,2747000,43,
1967,Iowa,2753000,42,
1968,Iowa,2748000,48,
1969,Iowa,2781000,39,
1970,Iowa,2825041,54,
1971,Iowa,2852000,52,
1972,Iowa,2883000,50,
1973,Iowa,2904000,63,
1974,Iowa,2855000,54,
1975,Iowa,2870000,71,
1976,Iowa,2870000,67,
1977,Iowa,2879000,67,
1978,Iowa,2896000,74,
1979,Iowa,2903000,65,
1980,Iowa,2907804,63,
1981,Iowa,2897000,76,
1982,Iowa,2905000,67,
1983,Iowa,2905000,68,
1984,Iowa,2910000,59,
1985,Iowa,2884000,55,
1986,Iowa,2851000,51,
1987,Iowa,2834000,59,
1988,Iowa,2834000,47,
1989,Iowa,2840000,54,
1990,Iowa,2776755,54,
1991,Iowa,2795000,57,
1992,Iowa,2812000,44,
1993,Iowa,2814000,66,
1994,Iowa,2829000,47,
1995,Iowa,2842000,51,
1996,Iowa,2852000,53,
1997,Iowa,2852000,52,
1998,Iowa,2862000,54,
1999,Iowa,2869413,43,
2000,Iowa,2926324,46,
2001,Iowa,2931967,50,
2002,Iowa,2935840,44,
2003,Iowa,2941976,50,
2004,Iowa,2952904,44,
2005,Iowa,2965524,40,
2006,Iowa,2982085,57,
2007,Iowa,2988046,40,
2008,Iowa,2993987,77,
2009,Iowa,3007856,38,
2010,Iowa,3046355,39,
1960,Kansas,2178611,64,
1961,Kansas,2194000,41,
1962,Kansas,2219000,63,
1963,Kansas,2225000,57,
1964,Kansas,2225000,75,
1965,Kansas,2234000,60,
1966,Kansas,2250000,78,
1967,Kansas,2275000,90,
1968,Kansas,2303000,86,
1969,Kansas,2321000,81,
1970,Kansas,2249071,107,
1971,Kansas,2258000,115,
1972,Kansas,2258000,91,
1973,Kansas,2279000,137,
1974,Kansas,2270000,157,
1975,Kansas,2267000,122,
1976,Kansas,2310000,104,
1977,Kansas,2326000,153,
1978,Kansas,2348000,133,
1979,Kansas,2369000,130,
1980,Kansas,2354783,163,
1981,Kansas,2381000,151,
1982,Kansas,2408000,138,
1983,Kansas,2425000,137,
1984,Kansas,2438000,89,
1985,Kansas,2450000,121,
1986,Kansas,2461000,108,
1987,Kansas,2476000,110,
1988,Kansas,2487000,85,
1989,Kansas,2513000,138,
1990,Kansas,2477574,98,
1991,Kansas,2495000,153,
1992,Kansas,2523000,151,
1993,Kansas,2531000,161,
1994,Kansas,2554000,170,
1995,Kansas,2565000,159,
1996,Kansas,2572000,170,
1997,Kansas,2595000,150,
1998,Kansas,2629000,173,
1999,Kansas,2654052,160,
2000,Kansas,2688418,169,
2001,Kansas,2702125,92,
2002,Kansas,2711769,78,
2003,Kansas,2724786,125,
2004,Kansas,2733697,122,
2005,Kansas,2748172,101,
2006,Kansas,2764075,127,
2007,Kansas,2775997,109,
2008,Kansas,2797375,113,
2009,Kansas,2818747,125,
2010,Kansas,2853118,100,
1960,Kentucky,3038156,205,
1961,Kentucky,3076000,201,
1962,Kentucky,3082000,201,
1963,Kentucky,3095000,172,
1964,Kentucky,3159000,164,
1965,Kentucky,3179000,168,
1966,Kentucky,3183000,223,
1967,Kentucky,3189000,230,
1968,Kentucky,3229000,288,
1969,Kentucky,3232000,336,
1970,Kentucky,3219311,357,
1971,Kentucky,3282000,358,
1972,Kentucky,3299000,323,
1973,Kentucky,3342000,323,
1974,Kentucky,3357000,347,
1975,Kentucky,3396000,345,
1976,Kentucky,3428000,362,
1977,Kentucky,3458000,349,
1978,Kentucky,3498000,316,
1979,Kentucky,3527000,335,
1980,Kentucky,3641479,321,
1981,Kentucky,3661000,308,
1982,Kentucky,3667000,355,
1983,Kentucky,3714000,364,
1984,Kentucky,3723000,244,
1985,Kentucky,3726000,256,
1986,Kentucky,3728000,248,
1987,Kentucky,3727000,280,
1988,Kentucky,3721000,229,
1989,Kentucky,3727000,293,
1990,Kentucky,3685296,264,
1991,Kentucky,3713000,253,
1992,Kentucky,3755000,216,
1993,Kentucky,3789000,249,
1994,Kentucky,3827000,244,
1995,Kentucky,3860000,276,
1996,Kentucky,3884000,228,
1997,Kentucky,3908000,228,
1998,Kentucky,3936000,237,
1999,Kentucky,3960825,203,
2000,Kentucky,4041769,193,
2001,Kentucky,4068816,181,
2002,Kentucky,4089822,191,
2003,Kentucky,4118189,181,
2004,Kentucky,4141835,236,
2005,Kentucky,4172608,190,
2006,Kentucky,4206074,177,
2007,Kentucky,4241474,218,
2008,Kentucky,4287931,202,
2009,Kentucky,4314113,184,
2010,Kentucky,4339367,187,
1960,Louisiana,3257022,270,
1961,Louisiana,3321000,211,
1962,Louisiana,3330000,225,
1963,Louisiana,3418000,235,
1964,Louisiana,3468000,287,
1965,Louisiana,3534000,285,
1966,Louisiana,3603000,355,
1967,Louisiana,3662000,341,
1968,Louisiana,3732000,354,
1969,Louisiana,3745000,356,
1970,Louisiana,3643180,426,
1971,Louisiana,3681000,409,
1972,Louisiana,3720000,491,
1973,Louisiana,3764000,581,
1974,Louisiana,3764000,604,
1975,Louisiana,3791000,477,
1976,Louisiana,3841000,506,
1977,Louisiana,3921000,609,
1978,Louisiana,3966000,625,
1979,Louisiana,4026000,682,
1980,Louisiana,4199542,661,
1981,Louisiana,4305000,673,
1982,Louisiana,4362000,698,
1983,Louisiana,4438000,629,
1984,Louisiana,4462000,575,
1985,Louisiana,4481000,487,
1986,Louisiana,4501000,575,
1987,Louisiana,4461000,496,
1988,Louisiana,4420000,512,
1989,Louisiana,4382000,653,
1990,Louisiana,4219973,724,
1991,Louisiana,4252000,720,
1992,Louisiana,4287000,747,
1993,Louisiana,4295000,874,
1994,Louisiana,4315000,856,
1995,Louisiana,4342000,740,
1996,Louisiana,4351000,762,
1997,Louisiana,4352000,682,
1998,Louisiana,4369000,560,
1999,Louisiana,4372035,468,
2000,Louisiana,4468976,560,
2001,Louisiana,4470368,501,
2002,Louisiana,4476192,593,
2003,Louisiana,4493665,584,
2004,Louisiana,4506685,574,
2005,Louisiana,4507331,450,
2006,Louisiana,4287768,562,
2007,Louisiana,4293204,631,
2008,Louisiana,4451513,541,
2009,Louisiana,4492076,529,
2010,Louisiana,4533372,510,
1960,Maine,969265,16,
1961,Maine,992000,16,
1962,Maine,999000,14,
1963,Maine,982000,19,
1964,Maine,989000,15,
1965,Maine,993000,21,
1966,Maine,983000,22,
1967,Maine,973000,4,
1968,Maine,979000,29,
1969,Maine,978000,16,
1970,Maine,993663,15,
1971,Maine,1003000,20,
1972,Maine,1029000,55,
1973,Maine,1028000,22,
1974,Maine,1047000,30,
1975,Maine,1059000,30,
1976,Maine,1070000,29,
1977,Maine,1085000,26,
1978,Maine,1091000,30,
1979,Maine,1097000,31,
1980,Maine,1123670,32,
1981,Maine,1132000,36,
1982,Maine,1133000,24,
1983,Maine,1146000,24,
1984,Maine,1156000,20,
1985,Maine,1164000,28,
1986,Maine,1174000,23,
1987,Maine,1187000,30,
1988,Maine,1206000,37,
1989,Maine,1222000,39,
1990,Maine,1227928,30,
1991,Maine,1235000,15,
1992,Maine,1235000,21,
1993,Maine,1239000,20,
1994,Maine,1240000,28,
1995,Maine,1241000,25,
1996,Maine,1243000,25,
1997,Maine,1242000,25,
1998,Maine,1244000,26,
1999,Maine,1253040,25,
2000,Maine,1274923,15,
2001,Maine,1284470,19,
2002,Maine,1294894,14,
2003,Maine,1309205,16,
2004,Maine,1314985,18,
2005,Maine,1318220,19,
2006,Maine,1321574,23,
2007,Maine,1317207,20,
2008,Maine,1319691,31,
2009,Maine,1318301,26,
2010,Maine,1328361,24,
1960,Maryland,3100689,168,
1961,Maryland,3188000,143,
1962,Maryland,3191000,183,
1963,Maryland,3289000,207,
1964,Maryland,3432000,229,
1965,Maryland,3519000,236,
1966,Maryland,3613000,254,
1967,Maryland,3682000,293,
1968,Maryland,3757000,350,
1969,Maryland,3765000,350,
1970,Maryland,3922399,362,
1971,Maryland,4000000,449,
1972,Maryland,4056000,509,
1973,Maryland,4070000,460,
1974,Maryland,4094000,481,
1975,Maryland,4098000,437,
1976,Maryland,4144000,352,
1977,Maryland,4139000,333,
1978,Maryland,4143000,338,
1979,Maryland,4149000,406,
1980,Maryland,4192211,399,
1981,Maryland,4261000,421,
1982,Maryland,4265000,432,
1983,Maryland,4304000,367,
1984,Maryland,4349000,354,
1985,Maryland,4392000,348,
1986,Maryland,4463000,401,
1987,Maryland,4535000,436,
1988,Maryland,4644000,449,
1989,Maryland,4694000,544,
1990,Maryland,4781468,552,
1991,Maryland,4860000,569,
1992,Maryland,4908000,596,
1993,Maryland,4965000,632,
1994,Maryland,5006000,579,
1995,Maryland,5042000,596,
1996,Maryland,5072000,588,
1997,Maryland,5094000,502,
1998,Maryland,5135000,513,
1999,Maryland,5171634,465,
2000,Maryland,5296486,430,
2001,Maryland,5386079,446,
2002,Maryland,5450525,513,
2003,Maryland,5512310,525,
2004,Maryland,5561332,521,
2005,Maryland,5589599,552,
2006,Maryland,5615727,546,
2007,Maryland,5618344,554,
2008,Maryland,5658655,493,
2009,Maryland,5699478,440,
2010,Maryland,5773552,430,
1960,Massachusetts,5148578,74,
1961,Massachusetts,5234000,77,
1962,Massachusetts,5161000,95,
1963,Massachusetts,5218000,101,
1964,Massachusetts,5338000,105,
1965,Massachusetts,5348000,129,
1966,Massachusetts,5383000,128,
1967,Massachusetts,5421000,154,
1968,Massachusetts,5437000,188,
1969,Massachusetts,5467000,191,
1970,Massachusetts,5689170,197,
1971,Massachusetts,5758000,220,
1972,Massachusetts,5787000,215,
1973,Massachusetts,5818000,256,
1974,Massachusetts,5800000,256,
1975,Massachusetts,5828000,242,
1976,Massachusetts,5809000,194,
1977,Massachusetts,5782000,178,
1978,Massachusetts,5774000,216,
1979,Massachusetts,5769000,212,
1980,Massachusetts,5728288,232,
1981,Massachusetts,5770000,210,
1982,Massachusetts,5781000,219,
1983,Massachusetts,5767000,203,
1984,Massachusetts,5798000,211,
1985,Massachusetts,5822000,202,
1986,Massachusetts,5832000,208,
1987,Massachusetts,5855000,173,
1988,Massachusetts,5871000,208,
1989,Massachusetts,5913000,254,
1990,Massachusetts,6016425,243,
1991,Massachusetts,5996000,249,
1992,Massachusetts,5998000,214,
1993,Massachusetts,6012000,233,
1994,Massachusetts,6041000,214,
1995,Massachusetts,6074000,217,
1996,Massachusetts,6092000,157,
1997,Massachusetts,6118000,119,
1998,Massachusetts,6147000,124,
1999,Massachusetts,6175169,122,
2000,Massachusetts,6349097,125,
2001,Massachusetts,6401164,143,
2002,Massachusetts,6421800,173,
2003,Massachusetts,6420357,140,
2004,Massachusetts,6407382,171,
2005,Massachusetts,6433367,178,
2006,Massachusetts,6437193,188,
2007,Massachusetts,6449755,188,
2008,Massachusetts,6543595,167,
2009,Massachusetts,6593587,173,
2010,Massachusetts,6547629,210,
1960,Michigan,7823194,353,
1961,Michigan,7954000,326,
1962,Michigan,7991000,275,
1963,Michigan,8116000,283,
1964,Michigan,8098000,284,
1965,Michigan,8218000,378,
1966,Michigan,8374000,415,
1967,Michigan,8584000,560,
1968,Michigan,8740000,669,
1969,Michigan,8766000,770,
1970,Michigan,8875083,831,
1971,Michigan,8997000,942,
1972,Michigan,9082000,999,
1973,Michigan,9044000,1096,
1974,Michigan,9098000,1186,
1975,Michigan,9157000,1086,
1976,Michigan,9104000,1014,
1977,Michigan,9129000,853,
1978,Michigan,9189000,972,
1979,Michigan,9208000,834,
1980,Michigan,9228128,940,
1981,Michigan,9201000,861,
1982,Michigan,9109000,827,
1983,Michigan,9069000,910,
1984,Michigan,9075000,879,
1985,Michigan,9088000,1018,
1986,Michigan,9145000,1032,
1987,Michigan,9200000,1124,
1988,Michigan,9300000,1009,
1989,Michigan,9273000,993,
1990,Michigan,9295297,971,
1991,Michigan,9368000,1009,
1992,Michigan,9437000,938,
1993,Michigan,9478000,933,
1994,Michigan,9496000,927,
1995,Michigan,9549000,808,
1996,Michigan,9594000,722,
1997,Michigan,9774000,759,
1998,Michigan,9817000,721,
1999,Michigan,9863775,695,
2000,Michigan,9938444,669,
2001,Michigan,10006266,672,
2002,Michigan,10043221,678,
2003,Michigan,10082364,612,
2004,Michigan,10104206,643,
2005,Michigan,10100833,629,
2006,Michigan,10095643,723,
2007,Michigan,10071822,663,
2008,Michigan,10002486,554,
2009,Michigan,9969727,623,
2010,Michigan,9883640,567,
1960,Minnesota,3413864,42,
1961,Minnesota,3470000,34,
1962,Minnesota,3475000,33,
1963,Minnesota,3500000,41,
1964,Minnesota,3521000,51,
1965,Minnesota,3554000,50,
1966,Minnesota,3576000,79,
1967,Minnesota,3582000,58,
1968,Minnesota,3646000,81,
1969,Minnesota,3700000,69,
1970,Minnesota,3805069,75,
1971,Minnesota,3881000,95,
1972,Minnesota,3896000,95,
1973,Minnesota,3897000,107,
1974,Minnesota,3917000,118,
1975,Minnesota,3926000,129,
1976,Minnesota,3965000,92,
1977,Minnesota,3975000,106,
1978,Minnesota,4008000,81,
1979,Minnesota,4060000,93,
1980,Minnesota,4061235,106,
1981,Minnesota,4090000,85,
1982,Minnesota,4133000,95,
1983,Minnesota,4144000,69,
1984,Minnesota,4162000,74,
1985,Minnesota,4193000,88,
1986,Minnesota,4214000,105,
1987,Minnesota,4246000,112,
1988,Minnesota,4306000,124,
1989,Minnesota,4353000,111,
1990,Minnesota,4375099,117,
1991,Minnesota,4432000,131,
1992,Minnesota,4480000,150,
1993,Minnesota,4517000,155,
1994,Minnesota,4567000,147,
1995,Minnesota,4610000,182,
1996,Minnesota,4658000,167,
1997,Minnesota,4686000,129,
1998,Minnesota,4725000,121,
1999,Minnesota,4775508,134,
2000,Minnesota,4919479,151,
2001,Minnesota,4984535,119,
2002,Minnesota,5024791,112,
2003,Minnesota,5064172,127,
2004,Minnesota,5096546,113,
2005,Minnesota,5126739,115,
2006,Minnesota,5167101,127,
2007,Minnesota,5197621,116,
2008,Minnesota,5230567,109,
2009,Minnesota,5266214,74,
2010,Minnesota,5303925,96,
1960,Mississippi,2178141,218,
1961,Mississippi,2215000,229,
1962,Mississippi,2248000,164,
1963,Mississippi,2290000,164,
1964,Mississippi,2314000,233,
1965,Mississippi,2321000,207,
1966,Mississippi,2327000,225,
1967,Mississippi,2348000,204,
1968,Mississippi,2342000,232,
1969,Mississippi,2363000,192,
1970,Mississippi,2216912,255,
1971,Mississippi,2226000,328,
1972,Mississippi,2263000,348,
1973,Mississippi,2281000,368,
1974,Mississippi,2324000,299,
1975,Mississippi,2346000,327,
1976,Mississippi,2354000,294,
1977,Mississippi,2389000,342,
1978,Mississippi,2404000,302,
1979,Mississippi,2406000,302,
1980,Mississippi,2511491,365,
1981,Mississippi,2530000,319,
1982,Mississippi,2551000,358,
1983,Mississippi,2587000,290,
1984,Mississippi,2598000,252,
1985,Mississippi,2613000,276,
1986,Mississippi,2625000,295,
1987,Mississippi,2625000,269,
1988,Mississippi,2627000,225,
1989,Mississippi,2621000,253,
1990,Mississippi,2573216,313,
1991,Mississippi,2592000,332,
1992,Mississippi,2614000,320,
1993,Mississippi,2643000,357,
1994,Mississippi,2669000,409,
1995,Mississippi,2697000,348,
1996,Mississippi,2716000,301,
1997,Mississippi,2731000,358,
1998,Mississippi,2752000,315,
1999,Mississippi,2768619,213,
2000,Mississippi,2844658,255,
2001,Mississippi,2859733,282,
2002,Mississippi,2866733,264,
2003,Mississippi,2882594,267,
2004,Mississippi,2900768,227,
2005,Mississippi,2908496,214,
2006,Mississippi,2910540,232,
2007,Mississippi,2918785,204,
2008,Mississippi,2940212,234,
2009,Mississippi,2951996,194,
2010,Mississippi,2967297,208,
1960,Missouri,4319813,189,
1961,Missouri,4378000,223,
1962,Missouri,4346000,241,
1963,Missouri,4328000,223,
1964,Missouri,4409000,240,
1965,Missouri,4497000,300,
1966,Missouri,4508000,245,
1967,Missouri,4603000,337,
1968,Missouri,4627000,408,
1969,Missouri,4651000,485,
1970,Missouri,4677399,499,
1971,Missouri,4749000,424,
1972,Missouri,4753000,396,
1973,Missouri,4757000,427,
1974,Missouri,4777000,466,
1975,Missouri,4763000,505,
1976,Missouri,4778000,443,
1977,Missouri,4801000,462,
1978,Missouri,4860000,505,
1979,Missouri,4868000,543,
1980,Missouri,4901288,544,
1981,Missouri,4938000,516,
1982,Missouri,4951000,479,
1983,Missouri,4970000,403,
1984,Missouri,5008000,358,
1985,Missouri,5029000,409,
1986,Missouri,5066000,464,
1987,Missouri,5103000,423,
1988,Missouri,5139000,413,
1989,Missouri,5159000,409,
1990,Missouri,5117073,449,
1991,Missouri,5158000,543,
1992,Missouri,5193000,547,
1993,Missouri,5234000,590,
1994,Missouri,5278000,554,
1995,Missouri,5324000,469,
1996,Missouri,5359000,433,
1997,Missouri,5402000,426,
1998,Missouri,5439000,399,
1999,Missouri,5468338,359,
2000,Missouri,5595211,347,
2001,Missouri,5637309,372,
2002,Missouri,5669544,331,
2003,Missouri,5719204,289,
2004,Missouri,5759532,354,
2005,Missouri,5797703,402,
2006,Missouri,5842713,370,
2007,Missouri,5878415,367,
2008,Missouri,5956335,456,
2009,Missouri,5987580,387,
2010,Missouri,5988927,420,
1960,Montana,674767,26,
1961,Montana,682000,17,
1962,Montana,709000,15,
1963,Montana,707000,14,
1964,Montana,705000,19,
1965,Montana,706000,12,
1966,Montana,702000,20,
1967,Montana,701000,17,
1968,Montana,693000,23,
1969,Montana,694000,25,
1970,Montana,694409,22,
1971,Montana,708000,31,
1972,Montana,719000,18,
1973,Montana,721000,43,
1974,Montana,735000,31,
1975,Montana,748000,39,
1976,Montana,753000,38,
1977,Montana,761000,41,
1978,Montana,785000,38,
1979,Montana,786000,33,
1980,Montana,781592,31,
1981,Montana,792000,27,
1982,Montana,801000,31,
1983,Montana,817000,30,
1984,Montana,824000,36,
1985,Montana,826000,48,
1986,Montana,819000,24,
1987,Montana,809000,33,
1988,Montana,804000,21,
1989,Montana,806000,23,
1990,Montana,799065,39,
1991,Montana,808000,21,
1992,Montana,824000,24,
1993,Montana,839000,25,
1994,Montana,856000,28,
1995,Montana,870000,35,
1996,Montana,879000,34,
1997,Montana,879000,42,
1998,Montana,880000,18,
1999,Montana,882779,22,
2000,Montana,902195,20,
2001,Montana,905382,34,
2002,Montana,910372,16,
2003,Montana,918157,30,
2004,Montana,926920,30,
2005,Montana,934737,18,
2006,Montana,944632,34,
2007,Montana,957861,23,
2008,Montana,968035,33,
2009,Montana,974989,32,
2010,Montana,989415,26,
1960,Nebraska,1411330,33,
1961,Nebraska,1431000,34,
1962,Nebraska,1484000,23,
1963,Nebraska,1460000,29,
